Date,ID,Net Kwh,DailyGenerations,EnphaseNetKwh,,EnphaseNetKwh,,,
9/1/2015,1,12,12,,,,,,
9/2/2015,2,24,12,,,,,,
9/3/2015,3,35,11,,,,,,
9/4/2015,4,46,11,,,,,,
9/5/2015,5,58,12,,,,,,
9/6/2015,6,70,12,,,,,,
9/7/2015,7,82,12,,,,,,
9/8/2015,8,94,12,,,,,,
9/9/2015,9,105,11,,,,,,
9/10/2015,10,115,10,,,,,,
9/11/2015,11,126,11,,,,,,
9/12/2015,12,131,5,,,,,,
9/13/2015,13,140,9,,,,,,
9/14/2015,14,145,5,,,,,,
9/15/2015,15,155,10,,,,,,
9/16/2015,16,161,6,,,,,,
9/17/2015,17,172,11,,,,,,
9/18/2015,18,183,11,,,,,,
9/19/2015,19,195,12,,,,,,
9/20/2015,20,206,11,,,,,,
9/21/2015,21,217,11,,,,,,
9/22/2015,22,224,7,,,,,,
9/23/2015,23,236,12,,,,,,
9/24/2015,24,244,8,,,,,,
9/25/2015,25,255,11,,,,,,
9/26/2015,26,266,11,,,,,,
9/27/2015,27,274,8,,,,,,
9/28/2015,28,284,10,,,,,,
9/29/2015,29,292,8,,,,,,
9/30/2015,30,294,2,,,,,,
10/1/2015,31,303,9,,,,,,
10/2/2015,32,314,11,,,,,,
10/3/2015,33,325,11,,,,,,
10/4/2015,34,335,10,,,,,,
10/5/2015,35,345,10,,,,,,
10/6/2015,36,355,10,,,,,,
10/7/2015,37,365,10,,,,,,
10/8/2015,38,374,9,,,,,,
10/9/2015,39,384,10,,,,,,
10/10/2015,40,393,9,,,,,,
10/11/2015,41,403,10,,,,,,
10/12/2015,42,412,9,,,,,,
10/13/2015,43,421,9,,,,,,
10/14/2015,44,430,9,,,,,,
10/15/2015,45,435,5,,,,,,
10/16/2015,46,444,9,,,,,,
10/17/2015,47,448,4,,,,,,
10/18/2015,48,457,9,,,,,,
10/19/2015,49,466,9,,,,,,
10/20/2015,50,475,9,,,,,,
10/21/2015,51,484,9,,,,,,
10/22/2015,52,493,9,,,,,,
10/23/2015,53,499,6,,,,,,
10/24/2015,54,506,7,,,,,,
10/25/2015,55,515,9,,,,,,
10/26/2015,56,523,8,,,,,,
10/27/2015,57,525,2,,,,,,
10/28/2015,58,533,8,,,,,,
10/29/2015,59,542,9,,,,,,
10/30/2015,60,550,8,,,,,,
10/31/2015,61,558,8,565,,264,,,
11/1/2015,62,562,4,,,,,,
11/2/2015,63,571,6,578,,,,,
11/3/2015,64,579,8,586,7,,,,
11/4/2015,65,588,9,595,7,,,,
11/5/2015,66,595,7,601,6,,,,
11/6/2015,67,603,8,611,8,,,,
11/7/2015,68,611,8,616,5,,,,
11/8/2015,69,615,4,619,4,,,,
11/9/2015,70,619,4,627,8,,,,
11/10/2015,71,627,8,635,8,,,,
11/11/2015,72,635,8,643,8,,,,
11/12/2015,73,643,8,651,8,,,,
11/13/2015,74,650,7,658,8,,,,
11/14/2015,75,658,8,666,8,,,,
11/15/2015,76,665,7,673,8,,,,
11/16/2015,77,673,8,682,9,,,,
11/17/2015,78,680,7,688,8,,,,
11/18/2015,79,687,7,696,9,,,,
11/19/2015,80,694,7,703,9,,,,
11/20/2015,81,701,7,710,9,,,,
11/21/2015,82,707,6,716,9,,,,
11/22/2015,83,713,6,722,9,,,,
11/23/2015,84,715,2,724,9,,,,
11/24/2015,85,720,5,729,9,,,,
11/25/2015,86,727,7,736,9,,,,
11/26/2015,87,735,8,744,9,,,,
11/27/2015,88,742,7,751,9,,,,
11/28/2015,89,750,8,759,9,,,,
11/29/2015,90,757,7,766,9,,,,
11/30/2015,91,759,2,768,9,,,,
12/1/2015,92,766,7,775,9,,,,
12/2/2015,93,770,4,779,9,,,,
12/3/2015,94,771,1,780,9,,,,
12/4/2015,95,778,7,787,9,,,,
12/5/2015,96,781,3,791,10,,,,
12/6/2015,97,783,2,792,9,,,,
12/7/2015,98,786,3,796,10,,,,
12/8/2015,99,788,2,798,10,,,,
12/9/2015,100,790,2,800,10,,,,
12/10/2015,101,795,5,805,10,,,,
12/11/2015,102,801,6,811,10,,,,
12/12/2015,103,806,5,816,10,,,,
12/13/2015,104,809,3,819,10,,,,
12/14/2015,105,816,7,826,10,,,,
12/15/2015,106,823,7,833,10,,,,
12/16/2015,107,830,7,840,10,,,,
12/17/2015,108,834,4,844,10,,,,
12/18/2015,109,836,2,846,10,,,,
12/19/2015,110,842,6,852,10,,,,
12/20/2015,111,844,2,854,10,,,,
