Date,ID,Net Kwh,DailyGenerations
9/1/2015,1,12,12
9/2/2015,2,24,12
9/3/2015,3,35,11
9/4/2015,4,46,11
9/5/2015,5,58,12
9/6/2015,6,70,12
9/7/2015,7,82,12
9/8/2015,8,94,12
9/9/2015,9,105,11
9/10/2015,10,115,10
9/11/2015,11,126,11
9/12/2015,12,131,5
9/13/2015,13,140,9
9/14/2015,14,145,5
9/15/2015,15,155,10
9/16/2015,16,161,6
9/17/2015,17,172,11
9/18/2015,18,183,11
9/19/2015,19,195,12
9/20/2015,20,206,11
9/21/2015,21,217,11
9/22/2015,22,224,7
9/23/2015,23,236,12
9/24/2015,24,244,8
9/25/2015,25,255,11
9/26/2015,26,266,11
9/27/2015,27,274,8
9/28/2015,28,284,10
9/29/2015,29,292,8
9/30/2015,30,294,2
10/1/2015,31,303,9
10/2/2015,32,314,11
10/3/2015,33,325,11
10/4/2015,34,335,10
10/5/2015,35,345,10
10/6/2015,36,355,10
10/7/2015,37,365,10
10/8/2015,38,374,9
10/9/2015,39,384,10
10/10/2015,40,393,9
10/11/2015,41,403,10
10/12/2015,42,412,9
10/13/2015,43,421,9
10/14/2015,44,430,9
10/15/2015,45,435,5
10/16/2015,46,444,9
10/17/2015,47,448,4
10/18/2015,48,457,9
10/19/2015,49,466,9
10/20/2015,50,475,9
10/21/2015,51,484,9
10/22/2015,52,493,9
10/23/2015,53,499,6
10/24/2015,54,506,7
10/25/2015,55,515,9
10/26/2015,56,523,8
10/27/2015,57,525,2
10/28/2015,58,533,8
10/29/2015,59,542,9
10/30/2015,60,550,8
10/31/2015,61,558,8
11/1/2015,62,562,4
11/2/2015,63,571,6
11/3/2015,64,579,8
11/4/2015,65,588,9
11/5/2015,66,595,7
11/6/2015,67,603,8
11/7/2015,68,611,8
11/8/2015,69,615,4
11/9/2015,70,619,4
11/10/2015,71,627,8
11/11/2015,72,635,8
11/12/2015,73,643,8
11/13/2015,74,650,7
11/14/2015,75,658,8
11/15/2015,76,665,7
11/16/2015,77,673,8
11/17/2015,78,680,7
11/18/2015,79,687,7
11/19/2015,80,694,7
11/20/2015,81,701,7
11/21/2015,82,707,6
11/22/2015,83,713,6
11/23/2015,84,715,2
11/24/2015,85,720,5
11/25/2015,86,727,7
11/26/2015,87,735,8
11/27/2015,88,742,7
11/28/2015,89,750,8
11/29/2015,90,757,7
11/30/2015,91,759,2
12/1/2015,92,766,7
12/2/2015,93,770,4
12/3/2015,94,771,1
12/4/2015,95,778,7
12/5/2015,96,781,3
12/6/2015,97,783,2
12/7/2015,98,786,3
12/8/2015,99,788,2
12/9/2015,100,790,2
12/10/2015,101,795,5
12/11/2015,102,801,6
12/12/2015,103,806,5
12/13/2015,104,809,3
12/14/2015,105,816,7
12/15/2015,106,823,7
12/16/2015,107,830,7
12/17/2015,108,834,4
12/18/2015,109,836,2
12/19/2015,110,842,6
12/20/2015,111,844,2
12/21/2015,112,844,0
12/22/2015,113,847,3
12/23/2015,114,854,7
12/24/2015,115,857,3
12/25/2015,116,864,7
12/26/2015,117,871,7
12/27/2015,118,875,4
12/28/2015,119,879,4
12/29/2015,120,886,7
12/30/2015,121,888,2
12/31/2015,122,895,7
1/1/2016,123,902,7
1/2/2016,124,905,3
1/3/2016,125,908,3
1/4/2016,126,911,3
1/5/2016,127,913,2
1/6/2016,128,915,2
1/7/2016,129,921,6
1/8/2016,130,924,3
1/9/2016,131,925,1
1/10/2016,132,928,3
1/11/2016,133,932,4
1/12/2016,134,936,4
1/13/2016,135,942,6
1/14/2016,136,944,2
1/15/2016,137,950,6
1/16/2016,138,952,2
1/17/2016,139,952,0
1/18/2016,140,955,3
1/19/2016,141,958,3
1/20/2016,142,964,6
1/21/2016,143,968,4
1/22/2016,144,969,1
1/23/2016,145,975,6
1/24/2016,146,982,7
1/25/2016,147,987,5
1/26/2016,148,994,7
1/27/2016,149,1002,8
1/28/2016,150,1005,3
1/29/2016,151,1006,1
1/30/2016,152,1012,6
1/31/2016,153,1021,9
2/1/2016,154,1030,9
2/2/2016,155,1036,6
2/3/2016,156,1041,5
2/4/2016,157,1048,7
2/5/2016,158,1056,8
2/6/2016,159,1063,7
2/7/2016,160,1072,9
2/8/2016,161,1081,9
2/9/2016,162,1087,6
2/10/2016,163,1095,8
2/11/2016,164,1102,7
2/12/2016,165,1110,8
2/13/2016,166,1119,9
2/14/2016,167,1127,8
2/15/2016,168,1135,9
2/16/2016,169,1144,9
2/17/2016,170,1148,4
